Client,Global_Dice,DT_Dice,Global_IoU,DT_IoU
Hospital1,0.4931290435787747,0.6303405028307117,0.33276559429747343,0.46460720490602836
Hospital2,0.18459607122462407,0.19890424277683572,0.11785649784545867,0.12773017422841837
Hospital3,0.3615767707846138,0.6014964091904703,0.2232781986513419,0.4325557122305627
Hospital4,0.4058738558137513,0.577261828146588,0.25980410903699597,0.4058035795259533
Hospital5,0.30521375798385947,0.5119577729744523,0.18836584922701097,0.3608792583689584
Hospital6,0.4794498404331513,0.38901050016902144,0.33441182623885907,0.27086099733889885
Hospital7,0.535553464576027,0.5834842734575738,0.404790731155813,0.43032415268814006
Hospital8,0.23196752113798458,0.20533163453427664,0.13806407469927076,0.11721455714034139
Hospital9,0.3560081202869738,0.5224635741165512,0.22568422756348513,0.3711735088685178
